92,155.645,92,152.506,110,166.731,110,171.511,106,170.439,0
92,155.645,92,152.506,110,166.731,110,171.511,106,170.439,0
88,150.299,88,146.524,104,159.836,104,165.429,100,163.399,0
88,150.299,88,146.524,104,159.836,104,165.429,100,163.399,0
109,179.911,87,144.905,111,179.932,114,183.879,105,183.946,0
111,180.391,96,156.027,97,156.047,103,166.841,95,164.264,0
109,184.846,96,160.019,94,159.195,101,174.051,100,168.693,0
103,172.68,81,138.646,104,173.95,108,179.443,100,178.754,0
112,185.976,100,166.74,97,161.735,110,181.443,103,184.047,0
113,182.88,98,159.113,100,160.505,106,169.79,97,166.571,0
114,187.17,101,163.71,98,160.475,105,175.752,107,170.688,0
109,184.846,96,160.019,94,159.195,101,174.051,100,168.693,0
120,185.423,104,166.095,106,168.185,110,171.144,107,179.148,0
109,155.747,98,147.087,123,182.021,131,185.249,113,173.899,0
114,174.073,109,172.467,118,180.893,113,172.857,110,181.887,0
106,176.511,82,136.43,114,183.326,107,174.804,96,170.696,0
107,177.016,84,139.006,115,184.286,107,174.963,97,172.18,0
106,176.725,82,137.502,114,183.512,107,174.671,97,172.093,0
106,176.226,80,132.892,113,181.622,107,174.32,95,169.473,0
109,179.723,88,144.677,111,179.441,114,183.701,104,183.616,0
117,168.169,92,139.555,109,163.911,129,186.164,115,177.703,0
119,186.658,82,149.184,84,150.886,117,190.601,100,173.082,0
117,180.072,90,153.267,94,158.287,119,186.629,126,182.419,0
118,185.192,81,146.908,83,149.295,117,189.811,99,171.051,0
117,180.22,89,153.112,94,158.253,118,186.176,127,182.602,0
121,188.195,82,149.827,84,151.887,118,191.754,101,174.243,0
120,183.801,95,160.119,94,157.049,117,185.353,126,182.279,0
121,188.351,81,147.491,83,149.652,119,193.109,100,173.075,0
119,183.239,95,160.328,94,157.269,117,185.203,126,182.132,0
118,184.855,79,144.012,81,146.678,116,189.821,98,169.766,0
117,180.111,89,152.208,94,157.223,119,186.73,127,182.194,0
128,194.087,73,132.457,73,131.024,121,193.529,97,169.344,0
121,188.381,81,148.184,83,150.09,119,193.267,101,173.592,0
116,179.288,86,147.599,93,156.595,118,185.598,126,181.568,0
119,185.179,76,139.016,81,146.919,116,189.717,98,170.538,0
119,183.68,96,161.874,94,158.162,117,184.831,126,182.276,0
118,184.69,56,104.259,83,151.797,125,197.989,87,156.407,0
110,177.48,75,134.352,99,168.4,122,193.163,115,174.067,0
117,184.374,55,102.407,82,150.735,124,197.655,86,155.352,0
118,183.567,80,146.488,82,147.415,117,187.415,98,168.651,0
113,175.105,83,146.021,87,150.387,114,180.171,118,172.666,0
116,177.995,82,138.444,98,160.769,129,193.391,123,179.364,0
113,175.827,63,118.844,82,148.075,117,183.926,87,152.049,0
121,188.114,83,149.736,85,151.878,118,191.915,101,173.888,0
128,194.087,73,132.457,73,131.024,121,193.529,97,169.344,0
119,180.93,60,106.656,72,127.664,129,193.872,93,159.755,0
120,195,99,174.387,112,190.924,123,201.134,116,197.009,0
118,185.192,81,146.908,83,149.295,117,189.811,99,171.051,0
121,188.195,82,149.827,84,151.887,118,191.754,101,174.243,0
118,184.69,56,104.259,83,151.797,125,197.989,87,156.407,0
119,180.93,60,106.656,72,127.664,129,193.872,93,159.755,0
115,186.071,104,174.976,110,182.115,116,187.789,130,193.422,0
120,195,99,174.387,112,190.924,123,201.134,116,197.009,0
115,177.984,88,151.352,93,156.212,116,184.118,124,179.906,0
118,184.46,81,147.21,83,149.145,115,188.674,99,170.889,0
117,179.961,90,153.408,94,157.855,118,186.007,126,182.22,0
123,190.106,92,156.625,90,151.053,118,186.837,122,181.249,0
119,171.614,115,169.085,109,161.727,124,176.316,114,170.911,0
94,157.913,112,167.475,107,166.884,95,157.331,104,170.029,0
94,158.122,113,167.922,107,167.271,95,157.296,104,169.946,0
95,158.293,112,167.103,106,166.234,95,157.311,104,169.004,0
94,157.245,113,168.113,107,166.401,94,155.269,104,169.234,0
95,158.864,110,164.526,105,164.078,97,158.904,104,168.905,0
93,155.812,109,162.865,106,163.949,96,157.463,103,167.165,0
93,157.02,110,163.889,105,163.608,95,156.998,103,167.656,0
95,159.461,111,167.153,106,166.205,95,157.846,104,169.595,0
101,158.939,92,154.209,97,163.552,100,163.357,100,166.742,0
101,165.028,94,159.411,101,165.904,102,166.589,100,166.831,0
97,160.388,108,162.208,103,160.42,103,161.614,108,169.45,0
96,160.644,98,164.951,100,166.179,97,158.303,102,169.953,0
115,167.83,108,167.409,109,170.095,111,163.577,111,173.637,0
104,164.473,104,162.064,102,159.985,106,165.277,106,170.416,0
97,160.688,111,165.47,107,165.481,98,160.351,105,170.191,0
132,192.958,113,167.522,108,162.929,134,195.454,131,188.66,0
120,196.209,101,176.178,98,170.737,127,199.421,118,195.586,0
120,196.209,101,176.178,98,170.737,127,199.421,118,195.586,0
121,196.984,98,170.467,97,166.22,126,197.344,118,192.479,0
122,198.193,99,172.026,98,167.397,128,199.371,119,193.969,0
84,149.385,85,147.045,92,157.553,91,158.785,138,195.226,1
80,137.111,76,132.116,80,137.62,84,140.547,148,199.59,1
61,110.683,61,110.686,67,119.865,68,121.254,156,203.252,1
59,107.309,60,110.065,64,118.15,63,113.648,144,189.764,1
72,131.353,71,130.422,78,139.421,78,138.838,135,187.306,1
74,129.098,70,123.878,74,129.379,77,133.733,158,205.751,1
62,113.453,60,109.902,64,116.722,64,117.299,142,189.728,1
67,120.645,65,118.788,68,122.512,67,120.675,151,197.687,1
56,99.2716,55,98.1847,60,105.097,62,107.717,146,196.114,1
63,115.018,61,112.081,67,121.333,68,123.329,149,199.206,1
73,129.375,69,124.451,73,127.67,74,128.344,152,197.287,1
71,130.243,68,124.458,75,134.643,77,138.18,149,197.801,1
73,130.147,72,126.799,80,137.352,81,139.624,157,206.654,1
58,104.645,58,104.738,66,114.826,64,112.152,146,196.897,1
247,254.669,221,252.993,217,253.814,249,254.821,0,255,1
132,203.529,127,194.355,132,200.737,137,208.643,182,234.152,1
249,254.775,224,253.586,217,254.211,252,254.961,0,255,1
248,254.644,222,253.174,216,253.993,251,254.879,0,255,1
151,235.159,141,223.299,148,230.004,156,241.115,188,251.265,1
142,229.769,139,222.901,144,228.52,148,235.168,178,246.213,1
107,178.874,105,173.327,110,179.775,112,184.849,136,205.356,1
131,210.208,120,195.585,127,203.414,135,215.64,173,239.17,1
83,146.098,79,139.349,86,146.501,90,152.433,135,194.478,1
249,254.613,221,253.117,213,253.862,252,254.892,0,255,1
146,235.099,143,228.808,150,234.838,154,241.533,183,248.954,1
139,220.743,127,205.76,135,214.049,143,226.34,179,244.862,1
132,217.087,130,210.793,135,216.981,139,223.74,168,238.06,1
185,253.423,175,248.811,182,249.98,189,253.668,237,254.823,1
162,251.464,157,244.974,163,247.867,168,252.056,201,252.891,1
