7327.5,0.167417,0.000956721,2.19755e-005,1.47735e-006,7.55743e-012,3.65751e-008,-3.7073e-012,103.018,112.392,4606.5,74.0403,80.775,0.160479,0.000257983,1.58466e-005,5.90576e-008,5.70439e-014,9.05935e-010,3.17642e-015,0
8139.5,0.288474,0.0265486,0.000176025,2.50998e-005,-1.51796e-009,9.78004e-007,6.9228e-010,115.878,252.274,2855.5,57.8697,61.032,0.160341,0.000202254,8.66935e-006,5.40392e-008,3.68459e-014,3.17497e-010,-3.23486e-015,0
7487,0.19043,0.00420892,0.00106244,0.000534268,4.01987e-007,3.46518e-005,2.07494e-008,102.005,152.072,4681,75.4594,80.4328,0.160023,0.000168435,1.55235e-005,1.76637e-008,6.80247e-015,1.35868e-010,-6.26731e-015,0
52493.5,0.185517,0.00161949,0.000272648,7.63579e-008,-2.84474e-013,-1.02692e-009,2.01145e-013,297,297,16913.5,125.338,214.987,0.199858,0.011808,0.000621436,9.46999e-005,2.13348e-008,7.97646e-006,8.52035e-009,0
9615,0.198525,0.00701142,0.00047999,0.000141737,3.5682e-008,1.18636e-005,-9.6709e-009,125.079,175.812,5607,79.1062,90.4336,0.162693,0.000704873,9.19055e-005,6.30414e-007,3.2317e-012,1.44415e-008,-3.54713e-012,0
54560.5,0.183917,0.00166384,0.000414473,5.7876e-006,2.80431e-010,1.37417e-007,4.13458e-011,297,297,15869.5,119.666,218.498,0.213128,0.0169879,0.000903705,0.000211875,9.27097e-008,2.75331e-005,5.56022e-010,0
11644.5,0.220676,0.00864459,0.000640701,0.000520421,3.00228e-007,4.81133e-005,-1.30262e-008,140.223,216.234,5763,84.6954,87.4474,0.160548,0.000243974,1.24196e-005,1.92094e-009,-1.88545e-016,2.99576e-011,-2.29097e-016,0
11563.5,0.351484,0.0621173,0.00438218,0.00290168,1.02238e-005,0.000643357,1.59286e-006,127.265,294.388,4997,80.8223,82.6196,0.161486,0.000318983,9.0191e-006,6.13507e-007,1.43333e-012,9.88782e-009,-1.68006e-013,0
16061.5,0.338492,0.0206448,0.00679567,0.000974748,-2.50762e-006,0.000134452,-7.46726e-008,267.241,273.513,5635,77.8,101,0.16906,0.00199302,0.000250751,6.25863e-006,2.43197e-010,2.77566e-007,-4.82453e-011,0
7184.5,0.249308,0.016319,0.00920229,0.00465169,3.04018e-005,0.000594233,1.40623e-006,99.0481,172.488,4340.5,74.9533,75.6604,0.159752,5.17812e-005,3.98423e-007,3.10833e-009,-3.71477e-017,2.17899e-011,-1.02886e-016,0
17456,0.336321,0.0162794,0.00459213,0.00309745,-7.31376e-006,0.000395079,-9.10908e-006,264.113,273.602,5606,80.5352,90.266,0.162399,0.000597447,2.20892e-005,8.23207e-007,3.51034e-012,1.47424e-008,1.52496e-014,0
